iter	Passed	Remaining
741	488316	169792
742	489042	169157
743	489744	168514
744	490450	167872
745	491162	167232
746	491818	166573
747	492541	165936
748	493177	165270
749	493840	164613
750	494516	163961
751	495222	163317
752	495886	162661
753	496559	162007
754	497226	161351
755	497886	160693
756	498593	160050
757	499259	159394
758	499881	158723
759	500511	158056
760	501192	157404
761	501934	156772
762	502574	156107
763	503281	155463
764	503918	154798
765	504643	154160
766	505187	153466
767	505845	152807
768	506389	152114
769	507098	151470
770	507763	150814
771	508423	150156
772	509049	149488
773	509630	148806
774	510292	148149
775	510948	147490
776	511649	146844
777	512277	146176
778	512980	145530
779	513633	144870
780	514340	144225
781	514986	143564
782	515646	142905
783	516367	142264
784	517021	141604
785	517656	140939
786	518300	140276
787	518932	139611
788	519575	138948
789	520142	138265
790	520801	137607
791	521455	136948
792	522110	136288
793	522767	135629
794	523459	134980
795	524100	134317
796	524649	133631
797	525285	132966
798	525962	132313
799	526679	131669
800	527244	130988
801	527829	130312
802	528546	129668
803	529221	129014
804	529836	128345
805	530489	127685
806	531121	127021
807	531812	126371
808	532472	125713
809	533087	125045
810	533706	124377
811	534375	123722
812	535062	123071
813	535745	122418
814	536392	121757
815	537072	121104
816	537702	120440
817	538387	119787
818	538932	119104
819	539549	118437
820	540195	117777
821	540850	117118
822	541488	116456
823	542207	115811
824	542858	115151
825	543556	114502
826	544118	113824
827	544835	113178
828	545550	112532
829	546207	111873
830	546901	111222
831	547447	110542
832	547969	109857
833	548683	109210
834	549324	108549
835	549970	107888
836	550608	107227
837	551269	106569
838	551907	105908
839	552564	105250
840	553244	104596
841	553926	103943
842	554574	103283
843	555160	102612
844	555800	101951
845	556507	101302
846	557154	100643
847	557844	99991
848	558554	99342
849	559115	98667
850	559771	98009
851	560434	97352
852	561105	96696
853	561769	96040
854	562425	95382
855	563085	94724
856	563746	94067
857	564410	93410
858	565057	92750
859	565563	92068
860	566257	91416
861	566906	90757
862	567614	90108
863	568320	89457
864	569014	88805
865	569806	88168
866	570444	87507
867	571102	86849
868	571761	86191
869	572390	85529
870	573045	84871
871	573730	84217
872	574387	83559
873	575077	82905
874	575644	82234
875	576337	81582
876	577045	80931
877	577701	80272
878	578368	79616
879	579084	78966
880	579726	78305
881	580423	77652
882	581133	77001
883	581771	76341
884	582440	75684
885	583138	75031
886	583798	74373
887	584482	73718
888	585135	73059
889	585781	72399
890	586432	71740
891	587158	71090
892	587886	70441
893	588588	69787
894	589242	69128
895	589946	68475
896	590599	67816
897	591335	67167
898	592034	66513
899	592678	65853
900	593299	65190
901	593961	64532
902	594660	63878
903	595381	63226
904	596066	62570
905	596715	61910
906	597426	61257
907	598127	60603
908	598780	59943
909	599441	59285
910	600121	58628
911	600760	57968
912	601410	57308
913	602102	56652
914	602751	55993
915	603444	55337
916	604110	54679
917	604716	54016
918	605364	53356
919	606051	52700
920	606756	52045
921	607428	51387
922	608071	50727
923	608722	50068
924	609432	49413
925	610079	48753
926	610706	48092
927	611367	47433
928	612027	46775
929	612645	46113
930	613266	45451
931	613788	44782
932	614449	44124
933	615114	43466
934	615773	42807
935	616476	42152
936	617169	41495
937	617871	40840
938	618559	40183
939	619254	39526
940	619895	38867
941	620547	38207
942	621206	37549
943	621845	36889
944	622488	36229
945	623143	35570
946	623791	34911
947	624452	34252
948	625074	33591
949	625662	32929
950	626217	32265
951	626741	31600
952	627450	30944
953	628108	30286
954	628749	29626
955	629413	28968
956	630065	28310
957	630719	27651
958	631365	26992
959	632022	26334
960	632744	25678
961	633395	25019
962	633942	24357
963	634573	23697
964	635217	23038
965	635900	22381
966	636606	21724
967	637265	21066
968	637979	20410
969	638649	19752
970	639280	19092
971	639859	18432
972	640465	17772
973	641113	17113
974	641755	16455
975	642457	15798
976	643140	15140
977	643829	14482
978	644497	13824
979	645159	13166
980	645869	12509
981	646415	11848
982	647074	11190
983	647777	10532
984	648440	9874
985	649093	9216
986	649662	8556
987	650330	7898
988	651029	7240
989	651741	6583
990	652392	5924
991	653088	5266
992	653739	4608
993	654371	3949
994	655011	3291
995	655626	2633
996	656312	1974
997	657020	1316
998	657626	658
999	658297	0
