iter	MultiClass
111	-2.501653335
112	-2.501258886
113	-2.500117535
114	-2.499369672
115	-2.498788275
116	-2.498244606
117	-2.497235646
118	-2.496375959
119	-2.49559742
120	-2.494492633
121	-2.493449149
122	-2.492446273
123	-2.491906667
124	-2.490968374
125	-2.490672765
126	-2.490260608
127	-2.489139659
128	-2.488282833
129	-2.487105262
130	-2.486013446
131	-2.485006953
132	-2.484418546
133	-2.483564769
134	-2.482824314
135	-2.4826004
136	-2.481796135
137	-2.481152063
138	-2.480514536
139	-2.480220369
140	-2.479383478
141	-2.478195577
142	-2.477282653
143	-2.476476129
144	-2.47570425
145	-2.475533518
146	-2.474699004
147	-2.474168927
148	-2.473972093
149	-2.473002195
150	-2.472260403
151	-2.471776383
152	-2.471079312
153	-2.470578685
154	-2.469667772
155	-2.469458105
156	-2.468527871
157	-2.468170513
158	-2.467382552
159	-2.466395736
160	-2.465262036
161	-2.464796826
162	-2.463989575
163	-2.46346434
164	-2.462860548
165	-2.462353101
166	-2.461780006
167	-2.461443959
168	-2.46130936
169	-2.460743398
170	-2.460015431
171	-2.459595241
172	-2.45941227
173	-2.458683665
174	-2.458355964
175	-2.458028651
176	-2.457707784
177	-2.456867551
178	-2.456023778
179	-2.455623243
180	-2.45476572
181	-2.454691227
182	-2.453995552
183	-2.45314044
184	-2.452372362
185	-2.451713486
186	-2.450848256
187	-2.450781888
188	-2.450230182
189	-2.449799217
190	-2.449658065
191	-2.449565017
192	-2.449434009
193	-2.449256022
194	-2.448732884
195	-2.448271984
196	-2.447411541
197	-2.446619664
198	-2.445667639
199	-2.4452755
200	-2.444724839
201	-2.443977668
202	-2.443645891
203	-2.443153703
204	-2.443018076
205	-2.442254206
206	-2.441939131
207	-2.441455792
208	-2.441413242
209	-2.440766166
210	-2.440345232
211	-2.440296703
212	-2.440027632
213	-2.439580709
214	-2.438996208
215	-2.438172496
216	-2.437686673
217	-2.43725844
218	-2.437162676
219	-2.436740047
220	-2.436632814
221	-2.43633134
222	-2.436089951
223	-2.435832815
224	-2.435559172
225	-2.434902504
226	-2.43464818
227	-2.434188207
228	-2.433950011
229	-2.433632064
230	-2.433006193
231	-2.432466937
232	-2.432178641
233	-2.432151999
234	-2.43166587
235	-2.431295094
236	-2.43037099
237	-2.429773728
238	-2.429419579
239	-2.428577907
240	-2.428132606
241	-2.427913871
242	-2.42788258
243	-2.427390742
244	-2.427367853
245	-2.426874952
246	-2.426401801
247	-2.425904027
248	-2.425323508
249	-2.424670698
250	-2.424257954
251	-2.424210884
252	-2.424160152
253	-2.42376548
254	-2.423438068
255	-2.423239751
256	-2.422812909
257	-2.422507289
258	-2.422003221
259	-2.421765223
260	-2.421426642
261	-2.420821389
262	-2.420305605
263	-2.419678663
264	-2.419528075
265	-2.419396662
266	-2.419167506
267	-2.418614867
268	-2.418526937
269	-2.418244011
270	-2.417875538
271	-2.417664655
272	-2.417421967
273	-2.416920083
274	-2.416536056
275	-2.416124977
276	-2.415377654
277	-2.41526091
278	-2.41469263
279	-2.414626531
280	-2.414613006
281	-2.41452281
282	-2.414220488
283	-2.413895171
284	-2.413192637
285	-2.413051746
286	-2.412794876
287	-2.412402982
288	-2.411812182
289	-2.411762009
290	-2.411723676
291	-2.411665652
292	-2.411435653
293	-2.411024711
294	-2.410415403
295	-2.410347867
296	-2.409718994
297	-2.409579796
298	-2.409083579
299	-2.408857776
300	-2.408401843
301	-2.408339374
302	-2.407830634
303	-2.407531932
304	-2.40729471
305	-2.407211008
306	-2.406794152
307	-2.406474765
308	-2.406411811
309	-2.40629082
310	-2.405936599
311	-2.405755695
312	-2.405478397
313	-2.405140136
314	-2.404778235
315	-2.404531081
316	-2.404139169
317	-2.403938065
318	-2.40336663
319	-2.403280564
320	-2.403225204
321	-2.402962152
322	-2.402764677
323	-2.402638436
324	-2.402202268
325	-2.401940052
326	-2.401861519
327	-2.401639109
328	-2.401357935
329	-2.401202077
330	-2.400992036
331	-2.400817771
332	-2.400507268
333	-2.40050019
334	-2.400148226
335	-2.39985014
336	-2.399561573
337	-2.398914431
338	-2.398429931
339	-2.398082501
340	-2.397603825
341	-2.397170228
342	-2.397061793
343	-2.396543688
344	-2.396253631
345	-2.396074953
346	-2.395706912
347	-2.395208
348	-2.394899356
349	-2.394801097
350	-2.394680974
351	-2.394122632
352	-2.393648011
353	-2.393312369
354	-2.393042544
355	-2.392823494
356	-2.392578443
357	-2.392287275
358	-2.392184527
359	-2.391615197
360	-2.391461271
361	-2.391238818
362	-2.391144586
363	-2.390696981
364	-2.390304754
365	-2.390026975
366	-2.389777036
367	-2.389567603
368	-2.389225577
369	-2.389075582
370	-2.389051198
371	-2.388886989
372	-2.388536936
373	-2.388431066
374	-2.388307717
375	-2.387983925
376	-2.387713588
377	-2.38746628
378	-2.387390536
379	-2.387241259
380	-2.386946944
381	-2.386839353
382	-2.386443611
383	-2.385854584
384	-2.385782657
385	-2.385514902
386	-2.385244054
387	-2.384916658
388	-2.384726999
389	-2.384409096
390	-2.384222908
391	-2.383985642
392	-2.383782917
393	-2.383506326
394	-2.383007327
395	-2.382670581
396	-2.382539989
397	-2.382362496
398	-2.382201771
399	-2.381971525
400	-2.381797218
401	-2.381567719
402	-2.38136937
403	-2.381195008
404	-2.381083885
405	-2.380854754
406	-2.380343372
407	-2.380024051
408	-2.379789593
409	-2.379324968
410	-2.379205044
411	-2.379059127
412	-2.378793176
413	-2.378533348
414	-2.378228192
415	-2.378090826
416	-2.377875236
417	-2.377782681
418	-2.377586131
419	-2.377306565
420	-2.377148637
421	-2.376904214
422	-2.376640152
423	-2.376467501
424	-2.376143578
425	-2.376029895
426	-2.375702846
427	-2.375511277
428	-2.375332147
429	-2.375003942
430	-2.374820664
431	-2.374583515
432	-2.374331993
433	-2.374002033
434	-2.373697715
435	-2.373399172
436	-2.373192769
437	-2.373027125
438	-2.372722548
439	-2.372462427
440	-2.37226358
441	-2.371989577
442	-2.371778035
443	-2.371567701
444	-2.371317913
445	-2.37110054
446	-2.37085893
447	-2.370602764
448	-2.370393976
449	-2.370091353
450	-2.369918335
451	-2.369860496
452	-2.36951256
453	-2.369330196
454	-2.369009382
455	-2.368697256
456	-2.368530296
457	-2.3681715
458	-2.367835125
459	-2.367626946
460	-2.367370223
461	-2.367164962
462	-2.366971019
463	-2.366555848
464	-2.366434116
465	-2.366135304
466	-2.365940039
467	-2.365609671
468	-2.365394956
469	-2.364999514
470	-2.364816079
471	-2.364719414
472	-2.364502594
473	-2.36424324
474	-2.3638702
475	-2.363548916
476	-2.363275437
477	-2.363032223
478	-2.362471984
479	-2.362228913
480	-2.361927993
481	-2.361793978
482	-2.361325901
483	-2.36121672
484	-2.360963233
485	-2.360953829
486	-2.360798402
487	-2.36060693
488	-2.360411719
489	-2.360144265
490	-2.359942431
491	-2.359816639
492	-2.359506246
493	-2.359417266
494	-2.359129614
495	-2.358847186
496	-2.35862522
497	-2.358455289
498	-2.3583502
499	-2.358157964
500	-2.357946349
501	-2.357454133
502	-2.357238438
503	-2.357142271
504	-2.35695268
505	-2.356808859
506	-2.356747332
507	-2.356505653
508	-2.356151492
509	-2.355913643
510	-2.355753753
511	-2.355630708
512	-2.355361413
513	-2.354929514
514	-2.354796159
515	-2.354595577
516	-2.354449545
517	-2.354168953
518	-2.353823195
519	-2.353767698
520	-2.353591167
521	-2.353479688
522	-2.353319003
523	-2.353197623
524	-2.353020908
525	-2.352769597
526	-2.352577046
527	-2.352471029
528	-2.352330938
529	-2.352110116
530	-2.351887166
531	-2.351769413
532	-2.351278116
533	-2.35113436
534	-2.351115661
535	-2.350892711
536	-2.350638489
537	-2.350459345
538	-2.350233973
539	-2.349916943
540	-2.34986042
541	-2.349541855
542	-2.349417213
543	-2.349091731
544	-2.348641328
545	-2.34823466
546	-2.348014404
547	-2.347956097
548	-2.347767072
549	-2.347662866
550	-2.347442561
551	-2.347279219
552	-2.346974177
553	-2.346762918
554	-2.346458061
555	-2.346154364
556	-2.345896735
557	-2.345773269
558	-2.345619548
559	-2.345605256
560	-2.345370237
561	-2.345257225
562	-2.345252481
563	-2.345020694
564	-2.344786107
565	-2.344541636
566	-2.344370885
567	-2.344071662
568	-2.34374213
569	-2.34358509
570	-2.343473722
571	-2.343127262
572	-2.342920048
573	-2.342699938
574	-2.342310737
575	-2.342068001
576	-2.341921035
577	-2.341696661
578	-2.341458836
579	-2.341331056
580	-2.341139828
581	-2.341076375
582	-2.340876212
583	-2.340666795
584	-2.340250826
585	-2.340107862
586	-2.339882131
587	-2.339650276
588	-2.33939129
589	-2.339303325
590	-2.339170611
591	-2.338982613
592	-2.338861641
593	-2.338669594
594	-2.338604283
595	-2.338487677
596	-2.338297151
597	-2.338188502
598	-2.338023638
599	-2.337972452
600	-2.337811996
601	-2.337737045
602	-2.337589365
603	-2.337403402
604	-2.337262711
605	-2.337078775
606	-2.336924727
607	-2.336740728
608	-2.336598512
609	-2.33636985
610	-2.336190834
611	-2.33597728
612	-2.335749621
613	-2.335548709
614	-2.335520402
615	-2.335300704
616	-2.335156166
617	-2.335051387
618	-2.334821102
619	-2.334468108
620	-2.334329508
621	-2.333975884
622	-2.333859304
623	-2.333555976
624	-2.33339161
625	-2.332975442
626	-2.33285372
627	-2.332760004
628	-2.332751659
629	-2.332608237
630	-2.332265675
631	-2.33199599
632	-2.331715114
633	-2.331473488
634	-2.331039989
635	-2.33074486
636	-2.330441814
637	-2.33020363
638	-2.330097071
639	-2.329941147
640	-2.329816929
641	-2.329577728
642	-2.32934076
643	-2.329043353
644	-2.32885778
645	-2.328590866
646	-2.328479741
647	-2.328365293
648	-2.328173091
649	-2.328121382
650	-2.328038459
651	-2.327822893
652	-2.327809988
653	-2.32776282
654	-2.327614928
655	-2.327486519
656	-2.327285019
657	-2.327276737
658	-2.327159939
659	-2.327044663
660	-2.326889749
661	-2.326822625
662	-2.326702433
663	-2.326464091
664	-2.326369645
665	-2.326210084
666	-2.325867781
667	-2.325523718
668	-2.325381145
669	-2.325212128
670	-2.325071947
671	-2.32487967
672	-2.324682055
673	-2.324523882
674	-2.324372575
675	-2.324356722
676	-2.324329994
677	-2.324194341
678	-2.323999595
679	-2.323885925
680	-2.323761383
681	-2.323526443
682	-2.323279628
683	-2.323145017
684	-2.323054028
685	-2.322804263
686	-2.322739167
687	-2.322656251
688	-2.322385373
689	-2.322332276
690	-2.322141071
691	-2.322052702
692	-2.321924239
693	-2.32177929
694	-2.32156756
695	-2.321399224
696	-2.321194071
697	-2.321052267
698	-2.320876015
699	-2.32074927
700	-2.320553442
701	-2.320336185
702	-2.320183878
703	-2.319879073
704	-2.319782875
705	-2.319615991
706	-2.319603136
707	-2.319474084
708	-2.319261939
709	-2.319175679
710	-2.318849378
711	-2.318599298
712	-2.318327076
713	-2.318192335
714	-2.317964417
715	-2.317823442
716	-2.317772723
717	-2.317627988
718	-2.317480994
719	-2.317147874
720	-2.316940539
721	-2.316840746
722	-2.316701342
723	-2.316574475
724	-2.31652487
725	-2.316228786
726	-2.316036726
727	-2.31557536
728	-2.315564928
729	-2.315391453
730	-2.315376815
731	-2.315177757
732	-2.314995968
733	-2.314844165
734	-2.31455117
735	-2.314360857
736	-2.314265769
737	-2.31411062
738	-2.313986745
739	-2.313975956
740	-2.313813309
741	-2.313310937
742	-2.312970167
743	-2.312809388
744	-2.312709056
745	-2.312345769
746	-2.312158228
747	-2.311998421
748	-2.311909834
749	-2.311792758
750	-2.311668075
751	-2.311377339
752	-2.311232481
753	-2.311158526
754	-2.310874056
755	-2.310624591
756	-2.310527115
757	-2.310396246
758	-2.310202867
759	-2.309998893
760	-2.309830855
761	-2.309762148
762	-2.309498211
763	-2.30933567
764	-2.309278116
765	-2.309161639
766	-2.309151945
767	-2.308928984
768	-2.308919299
769	-2.308723897
770	-2.308536344
771	-2.30834877
772	-2.308138815
773	-2.30813704
774	-2.307894809
775	-2.307794716
776	-2.307647592
777	-2.307601313
778	-2.307546267
779	-2.307436385
780	-2.307286375
781	-2.307178576
782	-2.307061467
783	-2.306582203
784	-2.306454841
785	-2.306284098
786	-2.30611201
787	-2.305949275
788	-2.305817882
789	-2.30581696
790	-2.305666533
791	-2.305567829
792	-2.305452344
793	-2.30522735
794	-2.305139195
795	-2.30500035
796	-2.304989396
797	-2.304875004
798	-2.304714494
799	-2.304510681
800	-2.304494395
801	-2.304435786
802	-2.304272608
803	-2.304075879
804	-2.303911765
805	-2.303746266
806	-2.303432343
807	-2.303268615
808	-2.303134009
809	-2.303014217
810	-2.302916839
811	-2.302886259
812	-2.302795959
813	-2.302671374
814	-2.302546034
815	-2.30233788
816	-2.302226729
817	-2.302055187
818	-2.302051137
819	-2.30171358
820	-2.301575625
821	-2.301365788
822	-2.301124561
823	-2.30109402
824	-2.301025337
825	-2.300785532
826	-2.300775002
827	-2.300565449
828	-2.300424075
829	-2.300314594
830	-2.300224652
831	-2.300214658
832	-2.300204008
833	-2.30001417
834	-2.299921821
835	-2.299780733
836	-2.299483264
837	-2.299303249
838	-2.299266749
839	-2.298976334
840	-2.298783247
841	-2.298687507
842	-2.298533567
843	-2.298495764
844	-2.298447257
845	-2.298230861
846	-2.298134563
847	-2.297858837
848	-2.29769096
849	-2.297682474
850	-2.297502929
851	-2.297380321
852	-2.297292072
853	-2.297168521
854	-2.297048832
855	-2.296895484
856	-2.296733269
857	-2.29657885
858	-2.296487548
859	-2.296486626
860	-2.296339746
861	-2.296274459
862	-2.29622565
863	-2.296144038
864	-2.296010665
865	-2.295894364
866	-2.295668642
867	-2.295592964
868	-2.295397553
869	-2.295256643
870	-2.295095583
871	-2.294937492
872	-2.294834234
873	-2.294692849
874	-2.294688688
875	-2.294592953
876	-2.294399311
877	-2.294268347
878	-2.294086215
879	-2.293900219
880	-2.29372473
881	-2.293538111
882	-2.293267986
883	-2.293097821
884	-2.292841241
885	-2.292785746
886	-2.292596355
887	-2.292461836
888	-2.292288509
889	-2.292179594
890	-2.292106508
891	-2.291935347
892	-2.291530437
893	-2.29141138
894	-2.291275017
895	-2.291050321
896	-2.290969867
897	-2.290811261
898	-2.290634415
899	-2.290246948
900	-2.290129691
901	-2.289811111
902	-2.289689735
903	-2.289553555
904	-2.289367445
905	-2.289196585
906	-2.288968937
907	-2.28878976
908	-2.288620545
909	-2.288438948
910	-2.288126245
911	-2.288100488
912	-2.288039303
913	-2.28791474
914	-2.287736834
915	-2.287604806
916	-2.287506867
917	-2.287484271
918	-2.287308173
919	-2.287141911
920	-2.286945532
921	-2.28671254
922	-2.286623971
923	-2.286577296
924	-2.286469906
925	-2.286174261
926	-2.286033903
927	-2.285914288
928	-2.285861796
929	-2.285854427
930	-2.285647976
931	-2.285642679
932	-2.285611412
933	-2.28553486
934	-2.285101452
935	-2.284939163
936	-2.284861398
937	-2.284771894
938	-2.284667443
939	-2.284498887
940	-2.28434926
941	-2.284231697
942	-2.28409899
943	-2.283948338
944	-2.28393227
945	-2.283771097
946	-2.283738861
947	-2.283436012
948	-2.283313445
949	-2.283272446
950	-2.283267081
951	-2.283259433
952	-2.282903493
953	-2.282827099
954	-2.282755022
955	-2.282483946
956	-2.282390456
957	-2.282234852
958	-2.282152976
959	-2.281840408
960	-2.281697059
961	-2.281614872
962	-2.281576665
963	-2.281281695
964	-2.28116031
965	-2.280837274
966	-2.280638687
967	-2.280329521
968	-2.279950646
969	-2.279614828
970	-2.279558523
971	-2.279553476
972	-2.279510856
973	-2.279443086
974	-2.279321466
975	-2.279170768
976	-2.278813404
977	-2.278640962
978	-2.278412335
979	-2.278270689
980	-2.278182371
981	-2.278179112
982	-2.278035058
983	-2.277971976
984	-2.277792532
985	-2.277653744
986	-2.27764399
987	-2.27759833
988	-2.277410661
989	-2.277306125
990	-2.277136787
991	-2.277039865
992	-2.276896125
993	-2.27665226
994	-2.276483172
995	-2.276246033
996	-2.276201977
997	-2.276067421
998	-2.275891581
999	-2.275815876
